name,rating,price,link
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),3.4,19999,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-1&xpid=33P0v7PZbFYE1
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),3.4,19999,https://www.amazon.in/Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DMTPY8PJ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-1&xpid=33P0v7PZbFYE1
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg",4.2,29799,https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-2&xpid=33P0v7PZbFYE1
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg",4.2,29799,https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-2&xpid=33P0v7PZbFYE1
"HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg",3.2,25000,https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-3&xpid=33P0v7PZbFYE1
"HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg",3.2,25000,https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-3&xpid=33P0v7PZbFYE1
"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg",3.6,36750,https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-4&xpid=33P0v7PZbFYE1
"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg",3.6,36750,https://www.amazon.in/Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-4&xpid=33P0v7PZbFYE1
DELL Latitude 3440 Intel Core i3 12th Gen 1215U - (8GB/512 GB SSD/Intel UHD Graphics) Thin and Light Business Laptop/14 HD Display/Grey/1.5 kg,3.6,32110,https://www.amazon.in/DELL-Latitude-3440-Intel-1215U/dp/B0B8XFRNT8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-5&xpid=33P0v7PZbFYE1
DELL Latitude 3440 Intel Core i3 12th Gen 1215U - (8GB/512 GB SSD/Intel UHD Graphics) Thin and Light Business Laptop/14 HD Display/Grey/1.5 kg,3.6,32110,https://www.amazon.in/DELL-Latitude-3440-Intel-1215U/dp/B0B8XFRNT8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Vcy4G-iKwjj_dIkVENpIGKci5HEs4TxGt6OrzbeqhTYIJs9Wn6PD30OtA9bgGiI5qBLwZQw8ZxyYfBbXgAlalgQ0XmMCu0mbXFrzVyWOjtWMv9z51Vc3h5UuDI-uQpwjOPEvSzrvpacpODyYK4DUbrvDv4ETTJ3OjPXhbQwyVeYnCwnlyAh_5zrVl9Qml54jnWC7X6PwfWpD6iPKSkysHGOrZwwY3aWxICdkaYLo0Y8.Xur0EC5kvrJfweESHrcuysymAbBHWZ8ZhIu3sHaBHjs&dib_tag=se&keywords=laptop&qid=1738436306&sr=8-5&xpid=33P0v7PZbFYE1
